Medicare ID,Year,Facility,Address,City,Zip,Health Service Area,FEIN Number,Legal Entity Owner,Ownership,Administrator,Medical Director Name,Property Owner 1,Property Owner 1 Address,Property Owner 1 City,Property Owner 2,Property Owner 2 Address,Property Owner 2 City,Property Owner 3,Related Entity 1,Related Entity 1 Relationship,Related Entity 1 Interest,Related Entity 2,Related Entity 2 Relationship,Related Entity 2 Interest,Related Entity 3,Related Entity 3 Relationship,Related Entity 3 Interest,Related Entity 4,Related Entity 4 Relationship,Related Entity 4 Interest,Related Entity 5,Related Entity 5 Relationship,Related Entity 5 Interest,Full-Time Work Week,Regsitered Nurse FTE,Dialysis Technician FTE,Dietician FTE,Social Worker FTE,LPN FTE,Other Health FTE,Other Non-Health FTE,Total Employees,Personnel Comments,Authorized Stations Start,Certified Stations Start,Authorized Stations End,Certified Stations End,Peak Station Operated,Stations Setup October,Isolation Stations October,In-Center Treatments,Average Treatment Time,Number of Missed Patients,Shifts Monday,Shifts Tuesday,Shifts Wednesday,Shifts Thursday,Shifts Friday,Shifts Saturday,Shifts Sunday,Incenter Nocturnal Dialysis,Hours of Operation Oct 1,Hours of Operation Oct 2,Hours of Operation Oct 3,Hours of Operation Oct 4,Hours of Operation Oct 5,Hours of Operation Oct 6,Hours of Operation Oct 7,Patients Treated Oct 1,Patients Treated Oct 2,Patients Treated Oct 3,Patients Treated Oct 4,Patients Treated Oct 5,Patients Treated Oct 6,Patients Treated Oct 7,Beginning Patients,Ending Patients,Total Patients Treated,Number of New Patients,Number of Transient Patients,Number Patients Re-Started,Number Post-Transplant,Number Recovered,Number of Transplant Recipients,Number Transferred,Number Voluntarily Discontinued,Number Lost to Follow-up,Number of Patients Died,Medicare Patients,Medicaid Patients,Other Public Patients,Private Insurance Patients,Private Pay Patients,Charity Patients,Total Patients Payment,Male Patients Under 14,Female Patients Under 14,Total Under 14,Male Patients 15-44,Female Patients 15-44,Total 15 to 44,Male Patients 45-64,Female Patients 45-64,Total 45 to 64,Male Patients 65-74,Female Patients 65-74,Total 65 to 74,Male Patients 75 and Over,Female Patients 75 and Over,Total 75 and Over,Total Males Age,Total Females Age,Total Patients Age,Asian Patients,American Indian Patients,Black African Patients,Hawaiian Pacific Patients,White Patients,Unknown Race Patients,Total Residents Race,Hispanic Latino Patients,Non-Hispanic Latino Patients,Unknown Ethnicity Patients,Total Residents by Ethnicity,Starting Date,Ending Date,Source of Financial Data,Total Capital Expenditures,Project 1,Project 1 Amount Obligated,Project 1 Financing,Project 1 CON Number,Project 2,Project 2 Amount Obligated,Project 2 Financing,Project 2 CON Number,Project 3,Project 3 Amount Obligated,Project 3 Financing,Project 3 CON Number,Project 4,Project 4 Amount Obligated,Project 4 Financing,Project 4 CON Number,Project 5,Project 5 Amount Obligated,Project 5 Financing,Project 5 CON Number,Project 6,Project 6 Amount Obligated,Project 6 Financing,Project 6 CON Number,Project 7,Project 7 Amount Obligated,Project 7 Financing,Project 7 CON Number,Project 8,Project 8 Amount Obligated,Project 8 Financing,Project 8 CON Number,Project 9 Amount Obligated,Project 10 Amount Obligated,Long-Term Debt,Net Revenue - Medicare,Net Revenue - Medicaid,Net Revenue - Other Public,Net Revenue - Private Insur,Net Revenue - Private Pay,Total Revenue,Medicare Check,Medicaid Check,Other Public Check,Private Insurance Check,Private Pay Check,Actual Cost of Charity Care,Charity Check,Covid,Contact Person,Contact Person Title,Contact Person Telephone,Contact Person Email,Person Certifying,Certifier Title,Certification Date,Comments,Total Treatments
14-2580,2023,Davita - Logan Square Dialysis,"2838 N Kimball Ave.,",Chicago,60618,6,95-3372911,"Total Renal Care - Davita, Inc.",For Profit Corporation,Jon Rey Donghit,"Daniel Roseman, MD",Dabiel Gross Marketing Partner,"800 Westchester Ave., Suite N641","Rye Brook, NY 10573",,,,,,,,,,,,,,,,,,,,40,4,8,1,1,0,2,1,17,"1 - Group Facility Administrator who is a nurse
1 - Administrative Assistant / Dialysis Technician
1 - Biomed Technician",28,28,28,28,28,28,1,195,1009,3,3,2,3,2,3,2,0,No,0,15,10,15,10,15,10,0,47,23,45,20,49,22,84,78,127,19,22,1,1,3,6,32,0,0,8,35,11,55,21,,5,127,0,0,0,18,9,27,37,15,52,22,11,33,9,6,15,86,41,127,5,0,34,0,88,0,127,82,45,0,127,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$72,034.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,893198.14,341233.26,1476474.25,2220496,,4931401.65,35,11,55,21,0,72360,5,,,,,,,,,,11139
14-2620,2023,DaVita - Ogden Dialysis,"6001 W Ogden Ave.,",Cicero,60804,7,95-3372911,"Total Renal Care - DaVita, Inc.",For Profit Corporation,Erick Castro,"Arouna Senthilkumar, MD",National Shopping Plaza,"200 W Madison St., Suite 4200",Chicago IL 60606,,,,,,,,,,,,,,,,,,,,40,1,3,0.5,0.5,0,1,2,8,"1 - Facility Administrator
1 - Administrative Assistant
1 - Biomedical Technician",12,12,12,12,12,12,12,195,171,3,3,0,3,0,3,0,0,No,0,14,0,14,0,14,0,0,30,0,29,0,29,0,27,31,52,12,13,0,0,1,2,14,0,0,4,12,8,21,9,,2,52,0,0,0,6,8,14,12,14,26,2,5,7,1,4,5,21,31,52,4,0,14,0,34,0,52,38,14,0,52,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$2,167.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,338699.26,183988.37,432367.49,654564.42,0,1609619.54,12,8,21,9,0,51840,2,,,,,,,,,,3768
14-2758,2023,DaVita  Whiteside,4406 East Lincolnway,Sterling,61081,1,23-2798598,Renal Treatments Center IL Inc,For Profit Corporation,Tasha O'Brien,Charlene Murdakes,First Midwest Group,6801 Spring Creek Rd.,"Rockford IL,61114",,,,,,,,,,,,,,,,,,,,30,3,6,0.5,0.5,0,1,0,11,AA (admission Assistant),16,16,16,16,16,16,0,225,192,3,3,1,3,1,3,1,,No,0,13,6,13,5,14,5,0,35,11,35,9,37,11,0,0,67,13,14,1,0,3,3,3,1,0,16,30,12,8,17,0,0,67,0,0,0,2,1,3,5,7,12,13,7,20,21,11,32,41,26,67,1,0,3,0,63,,67,7,60,0,67,1/1/2023,12/31/2022,Review/Compilation of Financial Statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839561.65,1702.89,1157178.52,0,0,1998443.06,30,12,8,17,0,720,0,,,,,,,,,,6627
14-2829,2023,Davita Adams County,436 North 10th st.,Quincy,62301,3,62-1323090,DVA Renal Healthcare Inc.,For Profit Corporation,Tanya Jones,Hrishikesh Ghanekar,Blessing Health Systems,1005 Broadway,"Quincy, IL 62301",,,,,,,,,,,,,,,,,,,,40,6,13,0.5,0.5,0,1,2,23,"other health > F.A.
other non health > A.A., Biomed",19,19,19,19,19,19,1,210,938,3,3,2,3,2,3,2,0,No,0,15,12,15,12,15,12,0,44,34,44,32,45,32,75,89,128,43,7,1,0,0,0,21,5,0,17,108,11,3,5,0,1,128,0,0,0,7,4,11,29,17,46,28,14,42,13,16,29,77,51,128,0,0,15,0,113,,128,3,125,0,128,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,$-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2365030.74,21536.44,1640088.1,1033357.36,0,5060012.64,108,11,3,5,0,10440,1,,,,,,,,,,10764
14-2718,2023,Davita Alton Dialysis,309 Homer M. Adams Parkway,Alton,62002,11,62002,"Davita Renal Healthcare, Inc.",For Profit Corporation,Anna Reinacher,Suresh Mathew,"Hauk Holdings, Inc.",4334 Glendale Milford Road,"Cinncinnati, OH 45242",,,,,,,,,,,,,,,,,,,,40,3,6,1,1,0,0,2,13,Facility Administrator; Biomedical Services Specialist,18,18,18,18,18,18,1,210,902,3,3,2,3,2,3,2,3,Off,,16,12,16,12,16,12,,29,17,25,16,28,15,32,35,105,4,3,0,0,5,0,0,0,0,13,79,15,2,9,0,0,105,0,0,0,4,7,11,24,16,40,20,13,33,9,12,21,57,48,105,0,0,31,0,73,1,105,1,104,0,105,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$6,981.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1492252,26994,1433510,1916227,0,4868983,79,15,2,9,0,0,0,,,,,,,,,,8464
14-2608,2023,Davita Beach Park Dialysis,3119 N. Lewis Ave,Waukegan,60087,8,82-749261,"Renal Treatment Center-Illinois, INC.",For Profit Corporation,Allan Navarro,Omar Dalloul,"Highland Property Group, LCC",3119 N. Lewis Ave,"Waukegan , IL 60087",,,,,,,,,,,,,,,,,,,,40,2,4,0.35,0.4,0,0,1,7.75,Biomed Technician for 0.25 and Administrative Assistant for 0.75,12,12,12,12,12,12,1,217,113,124,3,2,3,2,2,2,0,Off,0,15,9,15,9,15,9,0,29,10,28,9,29,11,37,43,61,19,4,0,1,0,2,8,0,0,2,35,9,4,9,0,4,61,0,0,0,6,1,7,18,10,28,13,6,19,2,5,7,39,22,61,3,0,16,0,42,0,61,35,26,0,61,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$6,898.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,620820.15,86708.55,784731.35,1327273.26,0,2819533.31,35,9,4,9,0,63360,4,,,,,,,,,,5867
14-2746,2023,DaVita Beverly Dialysis,8109 S. Western Ave,Chicago,60620,6,20-1649898,"Renal Life Link, Inc",For Profit Corporation,Joshua Knight,James Rydel,Mazhar Butt,4542 W 95th Street,"Oak Lawn, IL 60453",,,,,,,,,,,,,,,,,,,,40,5,5,1,2,0,2,,15,"Biomed- 1 fulltime
AA- 1 fulltime",16,16,16,16,16,16,1,210,566,3,3,2,3,2,3,2,0,No,0,18,16,18,16,18,16,0,31,20,29,20,29,17,0,29,96,30,4,0,1,,1,19,2,2,9,40,50,1,5,0,0,96,0,0,0,12,3,15,18,17,35,19,10,29,3,14,17,52,44,96,0,0,89,0,2,5,96,5,91,0,96,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$6,568.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,789137.2,3280.53,1497096.24,900536.08,0,3190050.05,40,50,1,5,0,0,0,,,,,,,,,,8037
14-2587,2023,DAVITA BRICKYARD DIALYSIS,2640 N. NARRAGANSETT AVE SUITE D8,Chicago,60639,6,82-3197667,"DUNKLINSON DIALYSIS, LLC",Limited Liability Company,Veronica Natividad,"DR. ANNA GOPANIUK-FOLGA,MD",RPAI CHICAGO BRICKYARD,2021 SPRING ROAD SUITE,"OAK BROOK, IL 60523",US MANAMEMENT,,,,"TOTAL RENAL CARE, INC",MANAGING MEMBER,90% MEMBERSHIP INTEREST,KIDNEY AND HYPERTENSION,MANAGING MEMBER,10% MEMBERSHIP INTEREST,CONSULTANTS,,,,,,,,,32,2,4,0.5,0.5,0,7,1,15,ADMINISTRATIVE ASSISTANT AND BIOMED TECHNICIAN INCLUDED IN THE OTHER NON-HEALTH RELATED PROFESSIONALS. NEPHROLOGIST INCLUDED IN THE OTHER HEALTH-RELATED PROFESSIONALS.,12,12,12,12,12,12,1,180,51,3,3,2,3,2,3,2,0,No,0,14,10,14,10,14,10,0,25,13,22,10,29,10,36,39,63,28,14,0,0,0,5,28,1,0,5,40,11,3,8,0,1,63,0,0,0,8,3,11,16,9,25,13,4,17,5,5,10,42,21,63,3,0,13,0,12,35,63,35,28,0,63,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$2,812.60",,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,0,0,581285.64,157494.25,808949.96,901488.19,0,2449218.04,40,11,3,8,0,13320,1,,,,,,,,,,5845
14-2768,2023,DaVita Buffalo Grove,1291 W. Dundee Rd.,Buffalo Grove,60089,7,61-1432627,"ISD Buffalo Grove, LLC",For Profit Corporation,Leimomi Lea M. Pacursa,Dr. George Hvostik,National Shopping Plaza,200 W Madison St. Suite 4200,"Chicago, IL 60606",,,,,NONE,,,,,,,,,,,,,,,35,3,5,7,1,0,3,1,20,,16,16,16,16,16,16,1,240,50,38,3,1,3,1,3,1,0,No,0,16,6,16,6,16,6,0,42,15,39,13,43,14,82,45,127,8,6,0,0,0,6,14,1,1,0,44,5,2,3,0,0,54,0,0,0,3,1,4,9,4,13,7,9,16,16,5,21,35,19,54,10,0,2,0,42,0,54,12,42,0,54,1/1/2023,12/31/2023,Audited Financial Statements,"$19,642.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1171501.82,145317.1,999480.73,1138321.36,,3454621.01,44,5,2,3,0,36360,0,,,,,,,,,,8477
14-2528,2023,DaVita Calumet City Dialysis,1200 Sibley Blvd,Calumet City,60409,7,95-3372911,"Total Renal Care, Inc",Other For Profit,Arkeytta Johnson,"Jaime Baylock, MD",Engineer Property Group,200 Madison Street Suite 4200,"Chicago, IL 60606-3465",,,,,,,,,,,,,,,,,,,,30,3.3,7,1,1,0,1,2,15.3,"1. Other Health-related Professionals
     - 1 Full-time BioMed 

2. Other Non Health-related Professionals
     - 1 Full-time Facility Administrator (FA)
     - 1 Full-time Administrative Assistant (AA)",18,18,18,18,18,18,0,215,585,3,3,2,3,2,3,2,0,No,0,17,12,17,12,17,12,0,36,27,34,20,34,23,73,73,98,17,0,1,0,2,3,3,0,0,7,72,12,1,13,0,0,98,0,0,0,6,4,10,25,14,39,12,18,30,5,14,19,48,50,98,0,0,91,0,7,0,98,5,91,2,98,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$39,510.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1084855.61,43561.82,1741581.08,1483244,0,4353242.51,72,12,1,13,0,8640,0,,,,,,,,,,"9,673"
14-2740,2023,DaVita Chicago Heights,177B W. Joe Orr Rd,Chicago Heights,60411,7,20-1252883,Limited Liability Company Mantanky,Limited Liability Company,Colandra Knight,Dr. Preeti Nagarkatte,Mantanky Reality,177B W. Joe Orr Rd,"Chicago Heights, Ill 60411",,,,,,,,,,,,,,,,,,,,40,1,3,0,1,0,2,0,7,"Administrative Assistant
Biomed",16,16,16,16,16,16,0,240,240,3,2,1,2,1,2,1,0,No,0,10,5,10,5,10,5,0,22,8,21,8,22,7,0,17,45,11,14,1,0,1,1,4,0,0,0,32,7,0,6,0,0,45,,,0,0,5,5,11,3,14,9,7,16,7,3,10,27,18,45,,,38,,7,,45,5,40,,45,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$26,442.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358604.92,29929.7,990647.51,511678.36,,1890860.49,32,7,0,6,0,0,0,,,,,,,,,,4402
14-2864,2023,DaVita Driftwood,1808 S. West Ave,Freeport,61032,1,45-2722878,Freeport Bay Dialysis,Other For Profit,Denise Kline,Dr. John Maynard,"Andersen, Jung and Co. (Eric Huang)",2131 19th Ave,"San Francisco, CA 94116",,,,,,,,,,,,,,,,,,,,40,1.5,2.65,0.5,0.5,0,1,0,6.15,"0.5 Biomed and 0.5 AA
There are other individuals employed as PRN or float, total employees are 10, but above reflects actual FTE hours worked in this time period.",12,12,12,12,12,12,1,311,497,3,3,1,3,1,3,1,0,No,0,11,5.5,11,5.5,11,5.5,0,22,9,19,10,22,9,40,34,80,14,18,0,2,0,2,19,0,1,11,63,6,3,8,0,0,80,0,0,0,4,5,9,23,11,34,15,6,21,10,6,16,52,28,80,1,0,23,0,54,2,80,2,78,0,80,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$175,781.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,404834.83,11897.14,1363339.95,675063.11,,2455135.03,63,6,3,8,0,0,0,,,,,,,,,,5416
14-2577,2023,DaVita Edgemont,8 Vieux Carre Dr.,East St. Louis,62203,11,953372911,Total Renal Care,For Profit Corporation,Bethany Richards,Felica Bentley,Inner CIty Enhancement Neighborhood D,205 Lake Ridge Dr.,"Collinsville, IL 62234",,,,,,,,,,,,,,,,,,,,40,3,9,0,0,0,0,0.5,12.5,Biomed,12,12,12,12,12,12,1,210,649,2,2,2,2,2,2,2,2,No,12,12,12,12,12,12,12,0,19,19,20,19,21,20,42,43,74,11,10,0,0,2,0,17,1,0,10,54,12,4,4,0,0,74,0,0,0,9,7,16,20,9,29,8,10,18,7,4,11,44,30,74,1,0,59,0,10,4,74,4,70,0,74,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$12,885.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554619.09,60103.35,1196909.76,249382.15,0,2061014.35,54,12,4,4,0,0,0,,,,,,,,,,5970
14-2537,2023,Davita Emerald Dialysis,710 W. 43rd Street,Chicago,60609,6,35-3372911,,For Profit Corporation,Ashley Frias,Dr. Arouna Senthilkumar,J & D Property Ventures,4660 S. Halsted,"Chicago, IL 60609",,,,,,,,,,,,,,,,,,,,40,2,5,1,1,0,0,3,12,"Total- 12.00

1- Biomed
1- FA
1- AA",24,24,24,24,24,24,0,3.53,697,3,3,0,3,0,3,0,0,No,0,15,0,15,0,15,0,0,34,0,32,0,36,0,23,26,62,24,0,1,1,2,1,4,0,0,8,34,21,2,4,0,1,62,0,0,0,3,2,5,18,13,31,9,6,15,5,6,11,35,27,62,1,0,43,1,13,4,62,9,53,0,62,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$226,148.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,643192.28,21509.16,978567.9,531279.25,0,2174548.59,34,21,2,4,0,2880,1,,,,,,,,,,4847
14-2822,2023,DaVita Evanston Renal Center,1922 Dempster St.,Evanston,60202,7,20-2694671,Total Renal Care - DaVita Inc,For Profit Corporation,Dana Galic,Liliana Osadchuk,Schwab Realty & Development,641 Wilke Rd.,"Arlington Heights, IL 60005",,,,,"ISD Renal, Inc",Ownership,Profit Corporation,,,,,,,,,,,,,40,4,7.5,1,1,0,1,0,14.5,Facility Administrator is a Licensed Dietitian Nutritionist/Registered Dietitian who does not actively work as the facility's RD.,22,22,22,22,22,22,22,201,305,6,3,3,3,3,3,3,0,No,0,14,14,14,14,14,14,0,42,39,39,33,46,33,89,85,121,25,9,2,0,4,1,16,0,0,15,83,18,2,17,0,1,121,0,0,0,8,5,13,26,13,39,23,14,37,18,14,32,75,46,121,17,0,44,0,54,6,121,21,100,0,121,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$95,252.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1682608,217366,1218667,1844894,,4963535,83,18,2,17,0,47520,1,,,,,,,,,,10624
14-2540,2023,Davita Forest City Dialysis,198 N. Springfield Avenue,Rockford,61101,1,81-1269053,Total Renal Care c/o Davita HCP,For Profit Corporation,Rachel Schwarz,"Charlene Murdakes, MD","DYN Community Holdings, LLC",6801 Springcreek Road,"Rockford, IL 61114",c/o First Midwest Group,,,,"Machesney Bay, LLC",JV Partner,Financial,,,,,,,,,,,,,30,1,3,0.5,0.5,0,0.5,0.5,6,"Other Helath-Related Professionals: Facility Administrator
Other Non Health-Related Professionals: Administrative Assistant",16,16,16,16,16,16,1,210,463,2,2,0,2,0,2,0,0,No,0,12,0,12,0,120,0,0,22,0,20,0,22,0,31,29,51,19,0,0,1,0,3,12,1,0,6,33,13,0,4,0,1,51,0,0,0,6,4,10,16,5,21,7,2,9,5,6,11,34,17,51,1,0,24,0,26,0,51,10,41,0,51,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$6,908.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,468807,50944,639634,316976,5040,1481401,33,13,0,4,0,5040,1,,,,,,,,,,4033
14-2826,2023,Davita Harvey,16641 S. Halsted,Harvey,60426,7,95-3372911,"Total Renal Care, INC",Other For Profit,Ree Clay,Dr. Ankur Sharma,Yousef Muslen,921 Broadway,"Gary, IN 46402",,,,,,,,,,,,,,,,,,,,30,2,4,0.4,0.2,0,1,1,8.6,"!. Admin. Asst.
2. Biomed",18,18,18,18,18,18,0,220,451,3,3,0,3,0,3,0,0,No,0,15,0,15,0,15,0,0,29,0,30,0,33,0,0,27,17,17,5,1,0,1,0,10,0,0,0,43,16,0,7,0,1,67,0,0,0,5,0,5,24,11,35,9,9,18,5,4,9,43,24,67,0,0,61,0,6,0,67,6,61,0,67,1/1/2022,12/31/2023,Review/Compilation of Financial Statements,"$12,713.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,369939.2,50738.02,1054629.03,286235.34,0,1761541.59,43,16,0,7,0,720,1,,,,,,,,,,4613
14-2721,2023,DaVita Hazel Crest,3470 W 183rd St,Hazel Crest,60429,7,20269471,ISK Renal Inc.AKA DSI Renal Inc,For Profit Corporation,Colandra Knight,Dr. Daniel Yohay,Resolution Property Services,230 W. Monroe St. Suite 100,Chicago Illinois 60630,,,,,,,,,,,,,,,,,,,,40,4,6,1,1,0,2,0,14,"Administrative Assistant
Biomed",20,20,20,20,20,20,0,240,147,4,4,1,4,1,4,1,0,Yes,0,19,10,19,10,19,10,0,39,10,33,11,36,12,57,58,74,20,18,0,0,1,2,37,0,0,3,56,9,4,10,0,0,79,0,0,0,8,3,11,19,14,33,6,6,12,13,10,23,46,33,79,0,0,67,0,12,0,79,6,73,0,79,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$312,876.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018289.25,60044.73,1026105.37,1453319.51,,3557758.86,56,9,4,10,0,6840,0,,,,,,,,,,7885
14-2544,2023,Davita Huntley Dialysis,"10370 Haligus Rd., Suite 100",Huntley,60142,8,47-5223578,Rhodes Dialysis LLC,Limited Liability Company,Kristine Isa Marie Cruz,Amit Arora,Healthcare Realty,"3000 N. Halsted St., Ste 725","Chicago, IL 60657",,,,,none,,,,,,,,,,,,,,,40,3,4,0.5,0.25,0,0,1,8.75,Other Non-Health Related Professionals are the Administrative Assistant and the Biomed.,14,14,14,14,14,14,0,210,89,3,3,2,3,2,3,2,0,Off,0,14,7,14,7,14,7,0,32,7,32,8,30,7,43,39,102,24,31,1,0,0,4,47,4,1,9,80,4,1,15,0,2,102,0,0,0,4,3,7,11,8,19,17,7,24,28,24,52,60,42,102,9,0,1,0,92,0,102,16,86,0,102,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$7,598.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1026392.02,31991.32,473724.24,960831,0,2492938.58,80,4,1,15,0,4680,2,,,,,,,,,,6098
14-2582,2023,Davita Kankakee River Dialysis,455 West Court Dtreet Suite 100,Kankakee,60901,9,23-2798598,Renal Treatment Centers-Illinois,For Profit Corporation,Christine Butler,Dr. Hizon,"Presence Properties, INV",5747 W. Dempster Street Suite 200,"Morton Grove,Illinois 60053",Presence Health Properties,,,Management,,,,,,,,,,,,,,,,40,6,7,1,1,0,1,1,17,"Other Health-related Professional: Administrative Assistant
Other Non Health-related Professionals: Biomedical Technician",24,24,24,24,20,0,0,240,0,0,3,2,3,2,3,2,0,No,0,15,11,15,11,15,11,0,33,17,29,18,30,18,49,61,80,31,3,0,0,0,0,10,1,0,7,69,11,0,0,0,0,80,0,0,0,5,3,8,17,6,23,17,9,26,11,12,23,50,30,80,1,1,39,0,36,3,80,2,75,3,80,01/0123,12/31/2023,Review/Compilation of Financial Statements,"$72,034.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341233.2,893198.14,147474.25,222049,,1603954.59,69,11,0,0,0,72360,0,,,,,,,,,,
14-2634,2023,Davita Kenwood,4259 S. Cottage Grove,Chicago,60653,6,953372911,"Total Renal Care, INC",For Profit Corporation,Ree Clay,Dr. Bhrathi Reddy,Bob Ernest,"4259 S, Cottage","Chicago, Illinois 60653",,,,,,,,,,,,,,,,,,,,30,2,2,0.2,0.2,0,1,1,6.4,"1. Admin Asst.
2. Biomed",0,0,32,32,8,3,0,210,16,2,0,2,0,2,0,2,0,No,0,0,6,0,6,0,6,0,0,3,0,3,0,3,0,0,11,11,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,11,0,0,0,1,0,1,4,0,4,0,3,3,2,1,3,7,4,11,1,0,10,0,0,0,11,0,11,0,11,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,$880.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79540.2,0,4020.59,88294.25,0,171855.04,9,0,0,2,0,0,0,,,,,,,,,,391
14-2813,2023,Davita Lake Villa Dialysis,37809 N. Il Rte 59,Lake Villa,60046,8,23-2798598,"Renal Treatment Center-Illinois, INC",For Profit Corporation,Allan Navarro,Omar Dalloul,Omar Dalloul,37809 N. Il Rte 59,Lake Villa,,,,,,,,,,,,,,,,,,,,40,2.5,6,0.5,0.5,0,0,1.25,10.75,1 FTE ( Administrative Assistant) Biomed Tech 0.25,12,12,12,12,12,12,0,218,137,6,3,3,3,3,3,3,0,No,0,14,14,14,14,14,14,0,23,23,22,26,25,24,59,57,82,16,5,0,2,0,3,2,14,0,6,61,3,2,13,0,3,82,0,0,0,1,3,4,24,19,43,10,4,14,9,12,21,44,38,82,6,0,5,0,71,0,82,18,64,0,82,1/1/2023,12/31/2024,Review/Compilation of Financial Statements,"$658,289.62",Facility Renovation and New RO,658289.62,,,system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1259428.87,40257.79,1042055.03,1132336.29,0,3474077.98,61,3,2,13,0,15840,3,,,,,,,,,,7683
14-2878,2023,DaVita Lawndale Dialysis,3934 W. 24th St.,Chicago,60623,6,200932,Cowell Dialysis,Limited Liability Partnership,Ma.Franchette Ipapo Maneja,Dr.Ogbonnaya Aneziokoro,SDO Development,1149 W. 17th St.,"Homewood, IL 60430",,,,,,,,,,,,,,,,,,,,40,4,8,1,1,0,0,2,16,Administrative Assistant and Biomed,16,16,16,16,16,16,1,210,548,7,4,3,4,3,4,3,0,No,0,19,15,19,15,19,15,0,37,25,34,23,39,22,84,71,121,15,21,1,0,0,6,36,0,0,8,63,8,30,19,0,1,121,0,0,0,12,7,19,48,27,75,14,5,19,6,2,8,80,41,121,0,0,45,0,76,0,121,71,50,0,121,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$9,908.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"929737,11",263372.87,1691484.85,1717634.16,0,933409502.9,63,8,30,19,0,19080,1,,,,,,,,,,11102
14-2316,2023,DaVita Lincoln Park Dialysis,2484 N. Elston Ave.,Chicago,60647,6,36-319-1860,"Lincoln Park Dialysis Service, Inc",For Profit Corporation,Dana Galic,Dr. Melvin K. Roseman,Chicago Title Land Trust Company,3611 N. Kedzie Ave.,Chicago IL 60618,,,,,DaVita,Ownership,For Profit,,,,,,,,,,,,,40,2,6,0.5,0.5,0,1,1,11,"Health-Related Professional: Facility Administrator is Licensed/Registered Dietitian but does not work as the Facility Dietitian.
Non-Health Professional: Administrative Assistant",25,25,25,25,25,16,1,201,328,3,3,3,3,3,3,3,0,No,0,14,13,14,13,14,13,0,30,20,28,21,29,21,60,54,111,21,23,0,0,2,7,17,1,1,9,66,21,3,20,0,1,111,0,0,0,12,9,21,24,14,38,13,16,29,16,7,23,65,46,111,12,0,48,0,51,0,111,21,90,,111,1/1/2023,12/31/2023,,"$10,782.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,723930.26,124260.25,1290690.25,1522666.25,0,3661547.01,66,21,3,20,0,1080,1,,,,,,,,,,8061
